1024        0.527701       0.003539
2048        1.761628       0.001208
3072        3.816400       0.000572
4096        6.665980       -nan
5120        10.340772       -nan
6144        14.818725       0.000646
7168        20.118902       -nan
8192        26.233559       -nan
9216        33.157204       0.000000
10240        40.901283       0.000000
11264        49.465904       -nan
12288        58.830376       0.000460
13312        69.023521       0.000000
14336        80.021004       -nan
15360        91.847061       0.000589
16384        104.499718       0.000299
17408        117.959938       0.000649
18432        132.222107       0.000000
19456        147.287430       0.000300
20480        163.223236       0.000663
21504        180.018219       0.000694
22528        197.677246       -nan
23552        215.999466       0.000409
24576        234.969543       -nan
25600        255.612183       -nan
26624        276.981567       0.000000
27648        299.230530       -nan
28672        322.650787       -nan
29696        347.067383       0.000441
30720        371.489502       -nan
