1024        0.139362      0.007667
2048        0.368533      0.003537
3072        0.664777      0.001663
4096        1.142882      0.002702
5120        1.735199      0.000796
6144        2.463963      0.002328
7168        3.318224      0.000294
8192        4.305523      0.001323
9216        5.422380      0.000000
10240        6.677163      0.001013
11264        8.058691      0.000594
12288        9.570015      0.000707
13312        11.212471      0.000493
14336        12.989625      0.000601
15360        14.892473      0.000525
16384        16.923586      0.000565
17408        19.093010      -nan
18432        21.389698      0.000365
19456        23.815350      0.000656
20480        26.378618      0.000889
21504        29.066103      -nan
22528        31.881817      -nan
23552        34.833309      -nan
24576        37.918121      0.000291
25600        41.136524      0.000269
26624        44.485264      0.000000
27648        47.963531      0.000326
28672        51.589596      0.000606
29696        55.318985      0.000692
30720        59.193565      -nan
