1024        0.206969       0.005308
2048        0.757189       0.001512
3072        1.496389       0.002651
4096        2.643457       0.003543
5120        4.006524       0.001379
6144        5.713056       0.001134
7168        7.735694       0.001010
8192        10.055316       0.000990
9216        12.689210       0.000308
10240        15.627356       -nan
11264        18.870018       -nan
12288        22.425495       0.000000
13312        26.274921       -nan
14336        30.459841       -nan
15360        34.892479       -nan
16384        39.697693       -nan
17408        44.765972       -nan
18432        50.157825       -nan
19456        55.852283       -nan
20480        61.863510       -nan
21504        68.169289       -nan
22528        74.786125       0.000000
23552        81.713387       -nan
24576        88.967049       0.000555
25600        96.491119       0.000561
26624        104.338623       0.000670
27648        112.491066       0.000278
28672        120.972305       0.000731
29696        129.728256       -nan
30720        138.798004       -nan
