1024        0.148610      0.005616
2048        0.545118      0.001344
3072        1.195500      0.000817
4096        2.146265      0.000000
5120        3.381241      0.000500
6144        4.882136      -nan
7168        6.646122      -nan
8192        8.676332      -nan
9216        10.970196      -nan
10240        13.531855      0.000577
11264        16.353619      -nan
12288        19.445951      -nan
13312        22.798372      -nan
14336        26.420843      -nan
15360        30.303291      -nan
16384        34.454926      -nan
17408        38.866566      0.000492
18432        43.551582      -nan
19456        48.496464      -nan
20480        53.707115      -nan
21504        59.176998      0.000457
22528        64.916527      -nan
23552        70.919037      -nan
24576        77.189316      0.000000
25600        83.717171      0.000264
26624        90.532951      -nan
27648        97.600021      0.000640
28672        104.933899      0.000666
29696        112.533165      0.000680
30720        120.411484      0.000000
