1024        0.130160       0.005950
2048        0.461407       0.001212
3072        1.020957       0.000676
4096        1.840634       -nan
5120        2.904667       0.000951
6144        4.205729       -nan
7168        5.752956       0.000679
8192        7.526411       0.000734
9216        9.534730       -nan
10240        11.781351       0.000000
11264        14.279257       -nan
12288        17.000231       -nan
13312        19.951120       -nan
14336        23.144093       -nan
15360        26.595493       -nan
16384        30.260473       0.000730
17408        34.155655       0.000457
18432        38.296825       0.000000
19456        42.699081       -nan
20480        47.311356       -nan
21504        52.151634       0.000670
22528        57.233101       -nan
23552        62.587452       -nan
24576        68.140442       0.000562
25600        73.925026       -nan
26624        79.967133       0.000000
27648        86.276215       -nan
28672        92.779030       0.000753
29696        99.519188       -nan
30720        106.506966       -nan
