1024        0.132112       0.012736
2048        0.477858       0.002751
3072        1.044844       0.000739
4096        1.839132       0.000881
5120        2.860920       -nan
6144        4.106526       0.000000
7168        5.579915       0.000248
8192        7.284624       0.000600
9216        9.215618       -nan
10240        11.363879       0.000486
11264        13.741863       0.000752
12288        16.370600       0.000477
13312        19.684486       0.000743
14336        23.486296       0.000941
15360        29.375053       0.000752
16384        35.500683       0.000000
17408        41.637177       -nan
18432        49.626007       0.000000
19456        56.553314       0.000000
20480        65.373878       0.000000
21504        73.415764       0.000673
22528        82.735344       -nan
23552        92.261780       0.000339
24576        101.757996       0.000687
25600        111.299622       0.000281
26624        122.681511       -nan
27648        132.833878       -nan
28672        144.995590       -nan
29696        156.378845       -nan
30720        168.996918       0.000262
