1024        0.229738       0.008481
2048        0.604985       0.003020
3072        1.211811       0.001336
4096        2.069187       0.001203
5120        3.151279       -nan
6144        4.547445       0.000429
7168        6.218060       -nan
8192        8.123025       -nan
9216        10.252417       -nan
10240        12.628366       -nan
11264        15.255732       -nan
12288        18.136986       0.002238
13312        21.253698       -nan
14336        24.629169       0.000549
15360        28.253628       -nan
16384        32.132919       0.000344
17408        36.261101       -nan
18432        40.633190       -nan
19456        45.252842       0.000691
20480        50.129723       -nan
21504        55.250294       0.000566
22528        60.630058       -nan
23552        66.250626       0.000472
24576        72.124725       0.000613
25600        78.243752       0.000000
26624        84.625587       0.000452
27648        91.246933       0.000593
28672        98.113762       0.000843
29696        105.243279       -nan
30720        112.619362       -nan
