#N	bb	rsqrt	rectangle	recursive	avril

1024 0.139362 0.127978 0.206969 0.477536 0.177547 
2048 0.368533 0.367669 0.757189 1.565843 0.658347 
3072 0.664777 0.735173 1.496389 3.371956 1.460157 
4096 1.142882 1.127640 2.643457 5.873242 2.582683 
5120 1.735199 1.754475 4.006524 9.110556 4.027640 
6144 2.463963 2.525638 5.713056 13.051709 5.798503 
7168 3.318224 3.285673 7.735694 17.705391 7.877402 
8192 4.305523 4.322005 10.055316 23.070433 10.290849 
9216 5.422380 5.501342 12.689210 29.137947 13.006269 
10240 6.677163 6.603261 15.627356 35.961441 16.055845 
11264 8.058691 8.058496 18.870018 43.475361 19.421392 
12288 9.570015 9.651556 22.425495 51.702789 23.117300 
13312 11.212471 11.096411 26.274921 60.660889 27.120205 
14336 12.989625 12.955884 30.459841 70.306229 31.447292 
15360 14.892473 14.956463 34.892479 80.664108 36.086819 
16384 16.923586 16.747944 39.697693 91.768761 41.348881 
17408 19.093010 19.020000 44.765972 103.592323 47.495399 
18432 21.389698 21.434874 50.157825 116.120613 54.334858 
19456 23.815350 23.568819 55.852283 129.353012 61.438408 
20480 26.378618 26.252058 61.863510 143.311081 69.621033 
21504 29.066103 29.074995 68.169289 157.975098 77.601784 
22528 31.881817 31.551891 74.786125 173.391037 86.568848 
23552 34.833309 34.641479 81.713387 189.452652 95.331047 
24576 37.918121 37.890015 88.967049 206.251480 105.165970 
25600 41.136524 40.708107 96.491119 223.952637 115.060226 
26624 44.485264 44.214413 104.338623 242.255508 125.367828 
27648 47.963531 47.864426 112.491066 261.189026 135.749069 
28672 51.589596 51.050888 120.972305 280.943176 147.206787 
29696 55.318985 54.962486 129.728256 301.941162 158.423813 
30720 59.193565 59.378464 138.798004 324.602051 170.600983 
