1024        0.142988       0.005574
2048        0.518697       0.001289
3072        1.144868       0.000739
4096        2.020753       0.000342
5120        3.149599       0.000620
6144        4.525598       -nan
7168        6.151262       -nan
8192        8.033559       0.000344
9216        10.160107       0.000000
10240        12.535179       -nan
11264        15.162034       -nan
12288        18.045584       -nan
13312        21.478012       0.000575
14336        25.330994       -nan
15360        30.948807       0.000757
16384        37.110050       0.000000
17408        43.414238       -nan
18432        51.222584       0.000682
19456        58.344551       -nan
20480        67.003098       -nan
21504        75.149879       0.000416
22528        84.406937       0.000693
23552        93.884338       0.000000
24576        103.459305       0.000427
25600        113.173279       0.000957
26624        124.411407       -nan
27648        134.759338       -nan
28672        146.735046       0.000426
29696        158.227356       -nan
30720        170.791382       0.000858
