#N	bb	rsqrt	rectangle	recursive	avril

1024 0.127872 0.115732 0.114792 0.215667 0.132854 
2048 0.458607 0.405053 0.401709 0.551045 0.477433 
3072 1.004426 0.894028 0.874015 1.086539 1.050851 
4096 1.814853 1.610006 1.539863 1.846875 1.854880 
5120 2.884126 2.548545 2.392822 2.789368 2.890265 
6144 4.187554 3.698895 3.560443 4.031050 4.154025 
7168 5.725556 5.067900 5.002934 5.531177 5.642056 
8192 7.494394 6.630940 6.640208 7.264498 7.366468 
9216 9.494789 8.401933 8.426369 9.174143 9.313737 
10240 11.730185 10.372906 10.398520 11.304294 11.489939 
11264 14.201651 12.591050 12.588570 13.654886 13.897078 
12288 16.915211 14.987629 14.980381 16.223927 16.565666 
13312 19.839212 17.574009 17.555433 18.984499 19.881498 
14336 23.010582 20.391569 20.366344 22.002918 23.694614 
15360 26.410427 23.434565 23.371811 25.239014 29.567055 
16384 30.054409 26.667498 26.594301 28.698902 35.700085 
17408 33.917110 30.098621 30.013779 32.379395 41.845566 
18432 38.031326 33.751339 33.655514 36.286331 49.831161 
19456 42.364273 37.633842 37.494442 40.413071 56.758106 
20480 46.941261 41.702198 41.549629 44.767776 65.568115 
21504 51.741055 45.965668 45.800369 49.339043 73.611229 
22528 56.781464 50.446304 50.268257 54.140289 82.931244 
23552 62.049351 55.168278 54.935913 59.160282 92.444366 
24576 67.556770 60.067348 59.818092 64.403976 101.942688 
25600 73.289223 65.165161 64.901833 69.872406 111.492996 
26624 79.275093 70.485710 70.209305 75.566330 122.864876 
27648 85.478806 76.051880 75.712502 81.481918 133.026031 
28672 91.924942 81.785255 81.430763 87.625999 145.183762 
29696 98.606293 87.730026 87.356468 93.989441 156.546982 
30720 105.524734 93.885597 93.499435 100.579628 169.241913 
