1024        0.127872      0.018991
2048        0.458607      0.006997
3072        1.004426      0.002119
4096        1.814853      0.000538
5120        2.884126      0.001552
6144        4.187554      0.000571
7168        5.725556      0.000763
8192        7.494394      0.000261
9216        9.494789      0.000582
10240        11.730185      0.000000
11264        14.201651      0.000550
12288        16.915211      -nan
13312        19.839212      0.000557
14336        23.010582      0.000832
15360        26.410427      -nan
16384        30.054409      0.000735
17408        33.917110      0.000326
18432        38.031326      0.000650
19456        42.364273      -nan
20480        46.941261      -nan
21504        51.741055      -nan
22528        56.781464      -nan
23552        62.049351      -nan
24576        67.556770      0.000463
25600        73.289223      -nan
26624        79.275093      0.000000
27648        85.478806      -nan
28672        91.924942      0.000000
29696        98.606293      0.000317
30720        105.524734      -nan
32768        16.175871      0.004582
32768        16.361872      0.004666
