1024        0.119327       0.009028
2048        0.348276       0.003344
3072        0.694111       0.002081
4096        1.075629       0.001284
5120        1.675351       0.000967
6144        2.411085       0.000906
7168        3.133594       0.000697
8192        4.123887       0.000474
9216        5.253682       0.000948
10240        6.299658       0.000537
11264        7.681813       -nan
12288        9.203629       -nan
13312        10.577400       -nan
14336        12.352902       -nan
15360        14.265293       0.000474
16384        15.967176       0.000000
17408        18.136801       0.000000
18432        20.442093       0.000896
19456        22.473045       0.000650
20480        25.033775       -nan
21504        27.730844       0.000282
22528        30.085283       -nan
23552        33.048145       0.000473
24576        36.141407       0.000306
25600        38.823204       -nan
26624        42.179821       0.000586
27648        45.661144       0.000484
28672        48.659000       -nan
29696        52.389416       -nan
30720        56.611366       0.000276
