2    1    4    9.33024e-06    3.54461e-13    5.95366e-07    5.95366e-08    1.17882e-05    6.71585e-11    8.19503e-06    0.000001
32    5    4    9.43616e-06    2.21105e-14    1.48696e-07    1.48696e-08    1.22331e-05    1.76178e-10    1.32732e-05    0.000001
64    6    4    9.24362e-06    2.60137e-14    1.61288e-07    1.61288e-08    1.28331e-05    7.77174e-11    8.81575e-06    0.000001
128    7    4    1.16976e-05    2.33463e-11    4.8318e-06    4.8318e-07    1.18447e-05    2.34929e-11    4.84695e-06    0.000000
256    8    4    1.04877e-05    6.37879e-12    2.52563e-06    2.52563e-07    1.09901e-05    3.08623e-11    5.55539e-06    0.000001
512    9    4    1.28578e-05    7.31077e-12    2.70384e-06    2.70384e-07    1.80841e-05    1.31672e-10    1.14748e-05    0.000001
512    9    4    1.24046e-05    9.69073e-13    9.84415e-07    9.84415e-08    1.48183e-05    1.56732e-10    1.25193e-05    0.000001
1024    10    4    2.68846e-05    1.57353e-10    1.2544e-05    1.2544e-06    1.80221e-05    5.08781e-12    2.25562e-06    0.000000
1024    10    4    2.68064e-05    1.59613e-10    1.26338e-05    1.26338e-06    1.71589e-05    1.10806e-12    1.05264e-06    0.000000
2048    11    4    6.31187e-05    2.35477e-10    1.53453e-05    1.53453e-06    3.88065e-05    1.57374e-10    1.25449e-05    0.000001
4096    12    4    0.000164539    2.53326e-10    1.59162e-05    1.59162e-06    6.88393e-05    2.18583e-10    1.47846e-05    0.000001
4096    12    4    0.000163338    2.58483e-10    1.60774e-05    1.60774e-06    6.79041e-05    1.67353e-10    1.29365e-05    0.000001
8192    13    4    0.000595049    3.95775e-10    1.98941e-05    1.98941e-06    0.000188697    3.1638e-10    1.77871e-05    0.000002
16384    14    4    0.00225615    7.23449e-10    2.6897e-05    2.6897e-06    0.000526624    6.29283e-10    2.50855e-05    0.000003
