1024        0.082752       0.009489
2048        0.281077       0.002257
3072        0.611255       0.001198
4096        1.073204       -nan
5120        1.671596       -nan
6144        2.397888       0.000644
7168        3.256276       0.000000
8192        4.253264       0.000459
9216        5.375432       -nan
10240        6.629514       0.000417
11264        8.016012       0.000345
12288        9.544527       0.000409
13312        11.194871       -nan
14336        12.976714       -nan
15360        14.889712       0.000000
16384        16.950548       -nan
17408        19.128782       0.000408
18432        21.438366       -nan
19456        23.879646       -nan
20480        26.472052       -nan
21504        29.177258       0.000464
22528        32.014427       0.000598
23552        34.983372       0.000547
24576        38.107994       -nan
25600        41.339893       0.000598
26624        44.705883       -nan
27648        48.202461       -nan
28672        51.858032       -nan
29696        55.619541       0.000281
30720        59.511208       0.000525
30768        16.633987       0.002798
32768        19.238125       0.003398
1024        0.034491       0.343945
8192        1.242252       0.089084
