1024        0.142789       0.019066
2048        0.313305       0.007289
3072        0.587862       0.003918
4096        0.968214       0.002110
5120        1.456156       0.001341
6144        2.051257       0.001010
7168        2.754537       0.000904
8192        3.565754       0.000000
9216        4.485372       0.000871
10240        5.514396       -nan
11264        6.648963       0.000415
12288        7.894508       0.000553
13312        9.247470       0.000597
14336        10.707955       0.000774
15360        12.280347       0.000318
16384        13.956753       0.000000
17408        15.737658       0.000248
18432        17.633064       0.000543
19456        19.633747       0.000629
20480        21.746593       -nan
21504        23.964048       0.000326
22528        26.289532       -nan
23552        28.723543       0.000272
24576        31.263636       0.000000
25600        33.917572       -nan
26624        36.679642       -nan
27648        39.541443       -nan
28672        42.521549       0.000780
29696        45.608978       -nan
30720        48.795658       0.000784
1024        0.074012       0.197031
8192        1.243059       0.019298
8192        1.252051       0.026847
32768        19.231573       0.002504
32768        19.562164       0.015769
8192        1.272846       0.093764
