1024        0.137313       0.009682
2048        0.495602       0.001970
3072        1.093240       0.000706
4096        1.929782       0.000759
5120        3.007945       -nan
6144        4.321919       0.000000
7168        5.874185       0.000743
8192        7.670295       0.000255
9216        9.700768       -nan
10240        11.968419       0.000462
11264        14.476145       -nan
12288        17.229744       0.000321
13312        20.214672       0.000273
14336        23.438833       0.000667
15360        26.899874       -nan
16384        30.621208       0.000675
17408        35.196674       0.000444
18432        40.823563       -nan
19456        46.345757       0.000826
20480        53.457314       0.000292
21504        59.736916       0.000585
22528        67.481339       -nan
23552        74.465347       0.000593
24576        82.896194       -nan
25600        91.097610       -nan
26624        99.611145       -nan
27648        107.818367       0.000648
28672        117.679993       0.000703
29696        126.671097       0.000653
30720        137.025558       0.000456
