#N	bb	rsqrt	rectangle	recursive	avril

1024 0.146829 0.129179 0.128824 0.227206 0.142988 
2048 0.538873 0.458601 0.453037 0.597286 0.518697 
3072 1.178523 1.014776 0.992607 1.191038 1.144868 
4096 2.113086 1.829100 1.748125 2.040302 2.020753 
5120 3.329633 2.886223 2.745920 3.093869 3.149599 
6144 4.805638 4.179611 4.132250 4.459026 4.525598 
7168 6.538629 5.716951 5.762639 6.101338 6.151262 
8192 8.533245 7.478525 7.573752 7.970487 8.033559 
9216 10.785892 9.474333 9.591199 10.058023 10.160107 
10240 13.301749 11.706982 11.839268 12.385126 12.535179 
11264 16.070648 14.188159 14.318960 14.962017 15.162034 
12288 19.106804 16.890234 17.041389 17.776756 18.045584 
13312 22.395933 19.824121 19.994425 20.843111 21.478012 
14336 25.953028 22.996449 23.189386 24.148720 25.330994 
15360 29.760887 26.424288 26.612593 27.696245 30.948807 
16384 33.837563 30.066910 30.276535 31.502094 37.110050 
17408 38.161320 33.936203 34.170731 35.545876 43.414238 
18432 42.757877 38.052170 38.314911 39.837326 51.222584 
19456 47.608379 42.426212 42.684418 44.359272 58.344551 
20480 52.720646 47.009354 47.297314 49.138184 67.003098 
21504 58.084087 51.817440 52.136906 54.157505 75.149879 
22528 63.715694 56.866714 57.219894 59.437538 84.406937 
23552 69.602684 62.186527 62.533321 64.941864 93.884338 
24576 75.749161 67.705002 68.093346 70.692726 103.459305 
25600 82.153397 73.452660 73.877220 76.704529 113.173279 
26624 88.838104 79.457130 79.918350 82.945839 124.411407 
27648 95.765579 85.725960 86.183174 89.434944 134.759338 
28672 102.959328 92.188858 92.686493 96.168358 146.735046 
29696 110.414696 98.885498 99.428802 103.149300 158.227356 
30720 118.136566 105.825645 106.421936 110.388420 170.791382 
