1024        0.129179       0.006004
2048        0.458601       0.001506
3072        1.014776       0.000761
4096        1.829100       0.000885
5120        2.886223       -nan
6144        4.179611       0.000572
7168        5.716951       0.000342
8192        7.478525       0.000739
9216        9.474333       0.000505
10240        11.706982       -nan
11264        14.188159       0.000275
12288        16.890234       0.000731
13312        19.824121       0.000394
14336        22.996449       0.000340
15360        26.424288       -nan
16384        30.066910       0.000780
17408        33.936203       0.000000
18432        38.052170       0.000290
19456        42.426212       -nan
20480        47.009354       -nan
21504        51.817440       0.000000
22528        56.866714       0.000389
23552        62.186527       -nan
24576        67.705002       0.000326
25600        73.452660       -nan
26624        79.457130       0.000000
27648        85.725960       -nan
28672        92.188858       0.000678
29696        98.885498       0.000447
30720        105.825645       -nan
