1024        0.184264       0.004614
2048        0.695502       0.001382
3072        1.600359       0.000863
4096        2.886088       0.000000
5120        4.594809       -nan
6144        6.712906       -nan
7168        9.429251       0.000293
8192        12.481510       0.000313
9216        16.839214       0.001037
10240        21.251043       0.000581
11264        27.635647       0.000565
12288        34.378265       -nan
13312        43.423641       0.000985
14336        52.402905       -nan
15360        63.893257       0.000692
16384        75.115540       0.000930
17408        89.208382       -nan
18432        102.284225       -nan
19456        117.440918       0.000461
20480        132.296951       0.000668
21504        148.921097       0.000000
22528        165.351639       0.000267
23552        183.899261       0.000481
24576        201.382126       0.000439
25600        222.502502       -nan
26624        241.752289       0.000259
27648        263.266937       0.000336
28672        284.203217       0.000311
29696        307.274475       0.000000
30720        329.573761       0.000848
